id	osztalyid	nev	ferfi
105	47	Fehér Ildikó	0
106	28	Bagó Bertalan	-1
107	70	Vetró Margit	0
108	89	Pálfi Gabriella	0
109	50	Soproni Ágnes	0
110	82	Gáti Vilma	0
111	33	Kerekes László	-1
112	77	Papp Teri	0
113	6	Herczeg Adrienn	0
114	88	Básti Juli	0
115	33	Kolos István	-1
116	67	Karikás Péter	-1
117	10	Pavletits Béla	-1
118	24	Szabó Sipos Barnabás	-1
119	76	Hegedűs Erzsébet	0
120	74	Halász László	-1
121	74	Szerencsi Hugó	-1
122	82	Kőszegi Gyula	-1
123	21	Illés Györgyi	0
124	77	Hacser Józsa	0
125	8	Tóth Attila	-1
126	14	Kovács Vanda	0
127	16	Naszlady Éva	0
128	74	Dariday Róbert	-1
129	80	Taby Márta	0
130	63	Szakács Eszter	0
131	89	Tóth Sándor	-1
132	5	Józan László	-1
133	16	Schramek Géza	-1
134	8	Szanitter Dávid	-1
135	55	Áron László	-1
136	63	Voith Ági	0
137	70	Csűrös Karola	0
138	15	Marozsán Erika	0
139	14	Hevér Gábor	-1
140	47	Vitai András	-1
141	76	Csihák László	-1
142	29	Varga Zoltán	-1
143	1	Nemes Vanda	0
144	22	Kelemen József	-1
145	21	Kocsis Marianna	0
146	89	Tóth Gabriella	0
147	70	Polgár Géza	-1
148	22	László Zsolt	-1
149	31	Várhelyi Dénes	-1
150	47	Saárossy Kinga	0
151	12	Sarkadi Kiss János	-1
152	47	Dunai Tamás	-1
153	10	Széles Zita	0
154	91	Végvári Tamás	-1
155	4	O. Szabó Soma	-1
156	42	Horineczki Erika	0
157	43	Molnár Zsuzsanna	0
158	37	Csere Ágnes	0
159	62	Dózsa László	-1
160	55	Bánsági Ildikó	0
161	12	Cservenák Vilmos	-1
162	88	Palkó László	-1
163	74	Munk Ilona	0
164	82	Velenczey István	-1
165	1	Érsek-Obádovics Mercédesz	0
166	47	Vándor Éva	0
167	35	Rácz Géza	-1
168	90	Szilágyi Tibor	-1
169	68	Verebély Iván	-1
170	41	Kovács Krisztina	0
171	28	Orosz Helga	0
172	52	Varsa Mátyás	-1
173	88	Bezerédi Zoltán	-1
174	17	Kálid Artúr	-1
175	50	Rácz Tibor	-1
176	90	Szabó Éva	0
177	12	Haumann Petra	0
178	1	Vass Teréz	0
179	36	Oláh Zsuzsa	0
180	89	Drahota Andrea	0
181	89	Farkas Gabi	0
182	33	Antal Olga	0
183	90	Szersén Gyula	-1
184	91	Dávid Ágnes	0
185	33	Funtek Frigyes	-1
186	51	Felföldy László	-1
187	65	Piróth Gyula	-1
188	51	Szakácsi Sándor	-1
189	2	Gilicze Márta	0
190	32	Pálfi Zoltán	-1
191	40	Dánielfy Zsolt	-1
192	6	Keresztes Tamás	-1
193	18	Kelemen István	-1
194	6	Hajduk Károly	-1
195	26	Hegedűs Zoltán	-1
196	76	Győri Ernő	-1
197	57	Szacsvay László	-1
198	33	Janisch Éva	0
199	67	Mendelényi Vilmos	-1
200	32	Csuja Imre	-1
201	12	Jánosi Dávid	-1
202	21	Kanda Pál	-1
203	8	Kasvinszky Attila	-1
204	13	Dányi Krisztián	-1
205	90	Horváth László	-1
207	56	Cserhalmi György	-1
208	3	Orosz Ákos	-1
209	61	Ábrahám István	-1
210	86	Bede Fazekas Szabolcs	-1
211	74	Sütő Irén	0
212	65	Béres Ilona	0
213	76	Sabák Piroska	0
214	67	Demjén Gyöngyvér	0
215	89	Gönczöl András	-1
216	66	Hőgye Zsuzsa	0
217	44	Vizi György	-1
218	8	Sás Péter	-1
219	68	Varga Tibor	-1
220	65	Izsóf Vilmos	-1
221	21	Csonka András	-1
222	67	Keresztes Irén	0
223	69	Petényi Ilona	0
224	92	Tóth András	-1
225	11	Polyák Lilla	0
226	33	Mészáros Károly	-1
227	44	Jutkovics Krisztina	0
228	36	Tóth Tamás	-1
229	20	Tihanyi Szilvia	0
230	40	Szerednyei Béla	-1
231	88	Sándor Erzsébet	0
232	53	Vas Zoltán Iván	-1
233	30	Lippai László	-1
234	62	Gyulay Károly	-1
235	56	Zsolnay Júlia	0
236	82	Szathmáry István	-1
237	20	Majzik Edit	0
238	78	Selényi Etelka	0
239	29	Tarján Péter	-1
240	18	Vasvári Csaba	-1
241	54	Bencze Ilona	0
242	13	Lázár Balázs	-1
243	5	Kőrösi Petra	0
244	81	Surányi Imre	-1
245	72	Harkányi Endre	-1
246	80	Gosztonyi János	-1
247	88	Máté Gábor	-1
248	80	Barlay Gusztáv	-1
249	68	Győry Emil	-1
250	93	Fehér László	-1
251	69	Szilárd Sándor	-1
252	23	Haás Vander Péter	-1
253	32	Gados Béla	-1
254	38	Kubik Anna	0
255	5	Petrik Andrea	0
256	52	Lázár Katalin	0
257	13	Pindroch Csaba	-1
258	85	Horváth Lili	0
259	53	Gálvölgyi János	-1
260	87	Igó Éva	0
261	69	Buday István	-1
262	30	Pusztaszeri Kornél	-1
263	56	Maros Gábor	-1
264	39	Lesznek Tibor	-1
265	1	Kádas József	-1
266	22	Horváth Lajos Ottó	-1
267	12	Menszátor Héresz Attila	-1
268	90	Balogh Zsuzsa	0
269	80	Miklóssy György	-1
270	16	Szalay Marianna	0
271	43	Seres Gabriella	0
272	65	Dobos Ildikó	0
273	94	Rétfalvi Tamás	-1
274	29	Vlahovics Edit	0
275	85	Mundruczó Kornél	-1
276	74	Földi Teri	0
277	32	Farkas Ignác	-1
278	76	Garics János	-1
279	50	Maszlay István	-1
280	62	Szabó Tünde	0
281	48	Fabó Györgyi	0
282	16	Debreczeny Csaba	-1
283	66	Koncz Gábor	-1
284	6	Gidró Katalin	0
285	36	Philippovich Tamás	-1
286	69	Mészöly Júlia	0
287	14	Vida Péter	-1
288	53	Horváth Péter	-1
289	87	Sziki Károly	-1
290	4	Kovács Judit Katalin	0
291	7	Száraz Dénes	-1
292	26	Spilák Klára	0
293	80	Ilniczky Ildikó	0
294	45	Zsurzs Kati	0
295	62	Joós László	-1
296	37	Derzsi János	-1
297	23	Für Anikó	0
298	76	Bódis Irén	0
299	34	Rudolf Péter	-1
300	65	Szegedi Erika	0
301	46	Nagy Anikó	0
302	65	Kis Endre	-1
303	7	Vajda Milán	-1
304	82	Dévai Kamilla	0
305	62	Szilvásssy Annamária	0
306	61	Markaly Gábor	-1
307	87	Gáspár Tibor	-1
308	30	Ráckevei Anna	0
309	3	Gera Marina	0
310	75	Varga Gyula	-1
311	89	Moór Mariann	0
312	73	Fehéregyházi Tibor	-1
313	85	Fullajtár Andrea	0
314	11	Hujber Ferenc	-1
315	8	Wéber Kata	0
316	11	Sipos Imre	-1
317	28	Both András	-1
318	19	Molnár Csaba	-1
319	48	Papadimitriu Athina	0
320	52	Soltis Lajos	-1
321	26	Kolti Helga	0
322	88	Kassai Károly	-1
323	15	Széles Tamás	-1
324	74	Janusevszkaja Olga	0
325	14	Viczián Ottó	-1
326	22	Györgyi Anna	0
327	38	Forgács Péter	-1
328	84	Barabás Richárd	-1
329	71	Perlaky István	-1
330	80	Petress Zsuzsa	0
332	74	Korompai Vali	0
333	10	Pálfi Katalin	0
334	17	Csapó Virág	0
335	74	Kun Vilmos	-1
336	86	Létay Dóra	0
337	40	Beratin Gábor	-1
338	14	Varga Zsuzsa	0
339	59	Körtvélyessy Zsolt	-1
340	84	Juhász Virág Lujza	0
341	36	Lukácsi József	-1
342	32	Maronka Csilla	0
343	42	Peremartoni Krisztina	0
344	26	Csomor Csilla	0
345	68	Mécs Károly	-1
346	94	Kovács Gergely	-1
347	45	Mikó István	-1
349	38	Ujvári Zoltán	-1
350	34	Kaszás Attila	-1
351	40	Ábrahám Edit	0
352	15	Gregor Bernadett	0
353	11	Pataki Ferenc	-1
354	7	Péter Kata	0
355	88	Póka Éva	0
356	74	Zolnay Zsuzsa	0
357	37	Bognár Mónika	0
358	82	Fóti Edit	0
359	68	Pap Éva	0
360	26	Kerekes Éva	0
361	76	Csapó János	-1
362	31	Borbély László	-1
363	52	Kútvölgyi Erzsébet	0
364	90	Juhász Jácint	-1
365	52	Maróti Gábor	-1
366	60	Lelkes Júlia	0
367	76	Gurnik Ilona	0
368	83	Károlyi Irén	0
369	59	Monori Lili	0
370	79	Ferencz László	-1
371	82	Pádua Ildikó	0
372	1	Hajdú László	-1
373	85	Pelsőczy Réka	0
374	48	Dóczi János	-1
375	21	Dégi János	-1
376	13	Csöre Gábor	-1
377	23	Nyírő Beáta	0
378	45	Rátonyi Hajnal	0
379	6	Géczi Zoltán	-1
380	86	Balázs Ágnes	0
381	77	Czigány Judit	0
382	19	Kövesdi László	-1
383	27	Csarnóy Zsuzsa	0
384	28	Győry Péter	-1
385	24	Szűcs Sándor	-1
386	31	Bognár János	-1
387	70	Pásztor Erzsi	0
388	80	Lengyel János	-1
389	91	Pécsi Ildikó	0
390	55	Jenei István	-1
391	37	Wohlmuth István	-1
392	6	Czapkó Antal	-1
393	1	Kovács Lehel	-1
394	14	Timkó Eszter	0
395	63	Káldi Nóra	0
396	59	Gyenge Mária	0
397	62	Vajda László	-1
398	75	Hajdú Endre	-1
399	7	Mészáros Máté	-1
400	7	Jordán Adél	0
401	52	Egri Márta	0
402	90	Dániel Vali	0
403	4	Pálmai Anna	0
404	4	Zrinyi Gál Vince	-1
405	23	Bellus Attila	-1
406	65	ifj. Ujlaky László	-1
407	66	Horesnyi László	-1
408	55	Melis György	-1
409	15	Schell Judit	0
410	35	Ivancsics Ilona	0
411	66	Bókai Mária	0
412	8	Karalyos Gábor	-1
413	27	Szalai Krisztina	0
414	77	Tarnay Margit	0
415	27	Csudai Csaba	-1
416	90	Almási Éva	0
417	81	György László	-1
418	82	Hindi Sándor	-1
419	16	Horváth Virgil	0
420	49	Kovács Gyula	-1
421	58	Sunyovszky Szilvia	0
422	37	Csonka Ibolya	0
423	51	Jancsó Sarolta	0
424	30	Götz Anna	0
425	13	Bozsó Péter	-1
426	69	Sztankay István	-1
427	76	Kádár Flóra	0
428	68	Bürös Gyöngyi	0
429	30	Kiss László	-1
430	63	Konrád Antal	-1
431	61	Harsányi Gábor	-1
432	80	Földes Gábor	-1
433	74	Almássy Béla	-1
434	75	Kaló Flórián	-1
435	10	Nagy Zsolt	-1
436	80	Molnár Tibor	-1
437	5	Klem Viktor Dávid	-1
438	66	Agárdy Ilona	0
439	49	Téri Sándor	-1
440	4	Schruff Tamás Milán	-1
441	71	Bodrogi Gyula	-1
442	77	Buss Gyula	-1
443	5	Csémy Balázs	-1
444	39	Sipos András	-1
445	35	ifj. Pathó István	-1
446	12	Szirtes Balázs	-1
447	40	Sashalmi József	-1
448	28	Rékasi Károly	-1
449	39	Nádházy Péter	-1
450	81	Győri Ilona	0
451	25	Varga Éva	0
452	1	Nagy Cecília	0
453	87	Gergely (Vajek) Róbert	-1
454	87	Mester Edit	0
455	70	Dégi István	-1
456	44	Katona János	-1
457	28	Solymosi Tibor	-1
458	40	Borbiczky Ferenc	-1
459	56	Vogt Károly	-1
460	78	Körmendi János	-1
461	9	Dolmány Attila	-1
462	71	Törőcsik Mari	0
463	46	Bácskai János	-1
464	60	Györgyfalvay Péter	-1
465	59	Schütz Ila	0
466	52	Miklósy Judit	0
467	49	Takács Katalin	0
468	35	Fon Gabriella	0
469	4	Horváth Sándor	-1
470	61	Császár Angela	0
471	76	Hadics László	-1
472	71	Fülöp Zsigmond	-1
473	14	Gubás Gabriella	0
474	69	Majcen Mária	0
475	15	Kamarás Iván	-1
476	10	Ruttkay Laura	0
477	58	Kern András	-1
478	45	Dimulász Miklós	-1
479	88	Eperjes Károly	-1
480	52	Szalay Edit	0
481	6	Csonka Szilvia	0
482	6	Danis Lídia	0
483	15	Ujvári Csaba	-1
484	25	Lux Ádám	-1
485	10	Melkvi Beáta	0
486	53	Vörös Eszter	0
487	91	Falvay Klára	0
488	44	Balkay Géza	-1
489	28	Mikula Sándor	-1
490	63	Kránitz Lajos	-1
491	80	Kálmán György	-1
492	59	Antal Anetta	0
493	62	Márton András	-1
494	83	Fáy Györgyi	0
495	73	Őze Lajos	-1
496	38	Incze József	-1
497	54	Koroknay Géza	-1
498	74	Nagy Attila	-1
499	32	Mátrai Tamás	-1
500	1	Kovács Olga	0
501	76	Ambrus András	-1
502	66	Koltai János	-1
503	20	Csendes Olivér	-1
504	50	Mátray Márta	0
505	71	Szabó Ildikó	0
506	7	Gál Kristóf	-1
507	74	Sándor Géza	-1
508	1	Sipos Vera	0
509	1	Simkó Katalin	0
510	75	Szirmai Jenő	-1
511	41	Frajt Edit	0
512	37	Vass Péter	-1
513	45	Dzsupin Ibolya	0
514	16	Huszárik Katalin	0
515	65	Tordai Teri	0
516	6	Pető Kata	0
517	32	Vajda János	-1
518	58	Verebes István	-1
519	47	O. Szabó István	-1
520	77	Soós Imre	-1
521	74	Horváth József	-1
522	45	Barbinek Péter	-1
523	27	Gesztesi Károly	-1
524	20	Kaszás Gergő	-1
525	14	Major Melinda	0
526	35	Papp Zoltán	-1
527	65	Polonyi Gyöngyi	0
528	43	Szoboszlai Éva	0
529	20	Gazdag Tibor	-1
530	38	Lang Györgyi	0
531	49	Hegedűs D. Géza	-1
532	48	Kánya Kata	0
533	88	Szirtes Gábor	-1
534	9	Lengyel Tamás	-1
535	37	Zillich Beatrix	0
536	28	Epres Attila	-1
537	54	Nagy Gábor	-1
538	89	Orbán Tibor	-1
539	47	Rupnik Károly	-1
540	76	Pápai Erzsi	0
541	74	Kapeller Éva	0
542	78	Pénzes János	-1
543	52	Farády István	-1
544	39	Balikó Tamás	-1
545	92	ifj. Vidnyánszky Attila	-1
546	3	Stork Natasa	0
547	85	Tóth Anita	0
548	40	Csizmadia Gabriella	0
549	49	Hűvösvölgyi Ildikó	0
550	26	Szervét Tibor	-1
551	29	Bal József Sándor	-1
552	11	Gyuriska János	-1
553	26	Cvetkó Sándor	-1
554	1	Mészáros Tibor	-1
555	77	Farkas Antal	-1
556	21	Földes Tamás	-1
557	27	Olasz Ágnes	0
558	52	Kalocsay Miklós	-1
559	59	Korbuly Péter	-1
560	19	Bíró Krisztina	0
561	16	Molnár Tamás	-1
562	53	Szilárdy István	-1
563	47	Fekete Gizella	0
564	6	Kovalik Ágnes	0
565	2	Juhász István	-1
566	83	Koppány Miklós	-1
567	12	Gryllus Dorka	0
568	83	Lenkei Edit	0
569	79	Bakos Magda	0
570	25	Román Judit	0
571	25	Cserna Antal	-1
572	74	Rácz Mihály	-1
573	43	Medgyessy Pál	-1
574	94	Huzella Júlia	0
575	27	Bede Fazekas Annamária	0
576	2	Molnár Mariann	0
577	15	Keszég László	-1
578	58	Bus Kati	0
579	78	Gyurkovics Zsuzsa	0
580	84	Földes Eszter	0
581	22	Schnell Ádám	-1
582	44	Hartmann Teréz	0
583	75	Avar István	-1
584	13	Liptai Claudia	0
585	62	Uri István	-1
586	74	Iványi József	-1
587	46	Bregyán Péter	-1
588	70	Holl István	-1
589	43	Emőd György	-1
590	57	Faluhelyi Magda	0
591	42	Vass Gábor	-1
592	26	Bartus Gyula	-1
593	48	Vitéz László	-1
594	58	Piros Ildikó	0
595	94	Pálos Hanna	0
596	93	Viktor Balázs	-1
597	66	Thirring Viola	0
598	61	Szendrő Iván	-1
599	14	Kardos Róbert	-1
600	75	Erdei Irén	0
601	37	Schallinger Gábor	-1
602	86	Nyári Zoltán	-1
603	77	Psota Irén	0
604	88	Herceg Csilla	0
605	31	Sztárek Andrea	0
606	92	Szabó Erika	0
607	30	Várnagy Zoltán	-1
608	66	Haumann Péter	-1
609	17	Varga Klára	0
610	26	Végh Péter	-1
611	43	Újhelyi Olga	0
612	26	Garay Nagy Tamás	-1
613	9	Kovács Martina	0
614	90	Kozák András	-1
615	94	Neudold Júlia	0
616	50	Bobor György	-1
617	66	Szabó Kálmán	-1
618	26	Juhász Károly	-1
619	4	Lass Beáta	0
620	93	Kerkay Rita	0
621	29	Zsíros Ágnes	0
622	39	Bartal (Horváth) Zsuzsa	0
623	86	Bodor Erzsébet	0
624	48	Bordán Irén	0
625	5	Trokán Nóra	0
626	36	Rubold Ödön	-1
627	6	Papp Dániel	-1
628	3	Lazók Mátyás Zoltán	-1
629	51	Sörös Sándor	-1
630	93	Kurta Niké	0
631	51	Jónás Gabriella	0
632	33	Mácsai Pál	-1
633	73	Henter Mária	0
634	70	Balogh Emese	0
635	56	Székhelyi József	-1
636	34	Töreky Zsuzsa	0
637	7	Dömötör András	-1
638	13	Juhász Réka	0
639	9	Bodó Viktor	-1
640	12	Lévay Viktória	0
641	19	Czifra Krisztina	0
642	17	Rajkai Zoltán	-1
643	17	Dózsa Zoltán László	-1
644	69	Linka György	-1
645	86	Őze Áron	-1
646	70	Peczkay Endre	-1
647	46	Petrozsényi Eszter	0
648	87	Zágoni Zsolt	-1
649	78	Felföldy László	-1
650	82	Rákosi Mária	0
651	23	Malcsiner Péter	-1
652	92	Vecsei Miklós	-1
653	55	Lukács Sándor	-1
654	39	Bieder Éva	0
655	28	Kerekes József	-1
656	26	Quintus Konrád	-1
657	1	Mózes Balázs	-1
658	81	Nánási Mária	0
659	6	Kedvek Richárd	-1
660	91	Cs. Németh lajos	-1
661	21	Rusz Márk Milán	-1
662	79	Örkényi Éva	0
663	25	Megyeri Zoltán	-1
664	70	Paláncz Ferenc	-1
665	84	Tarr Judit	0
666	43	Tímár Zoltán	-1
667	76	Suka Sándor	-1
668	13	Balázsovits Edit	0
669	24	Csankó Zoltán	-1
670	81	Ujvári Viktória	0
671	93	Bárnai Péter	-1
672	67	Balassa Gábor	-1
673	77	Szemes Mari	0
674	6	Tóth Orsolya	0
675	1	Egres Katinka	0
676	58	Detre Annamária	0
677	93	Bán Bálint	-1
678	49	Egri Katalin	0
679	83	Zentai Anna	0
680	60	Koltai Róbert	-1
681	60	Venczel Vera	0
682	84	Szabó Zsófia Anna	0
683	38	T. Katona Ágnes	0
684	42	Tahi-Tóth József	-1
685	58	Sipeki Tibor	-1
686	1	Miklós Marcell	-1
687	45	Szilágyi Zsuzsa	0
688	94	Ficza István	-1
689	48	Blaskó Balázs	-1
690	19	Mihályfi Balázs	-1
691	22	Balogh András	-1
692	67	Csikos Gábor	-1
693	38	Bánky Gábor	-1
694	69	Tóth Miklós	-1
695	20	Májer Zsigmond	-1
696	10	Pikali Gerda	0
697	13	Karácsonyi Zoltán	-1
698	15	Hajdú István	-1
699	11	Buza Tímea	0
700	84	Molnár Áron	-1
701	3	László Géza Attila	-1
702	11	Varga Gabriella	0
703	92	Csapó Attila	-1
704	82	Raksányi Gellért	-1
705	31	Radó Denise	0
706	71	Verdes Tamás	-1
707	29	Baráth Attila	-1
708	15	Fekete Tibor	-1
709	38	Sipos László	-1
710	50	Kiss Mari	0
711	51	Szurdi Miklós	-1
712	41	Földi László	-1
713	66	Simon Kázmér	-1
714	75	Domján Edit	0
715	16	Galambos Attila	-1
716	66	Sebestyén Ferenc	-1
717	28	Segesvári Gabriella	0
718	93	Ostorházi Bernadett	0
719	93	Kádár Lilla	0
720	43	Csák György	-1
721	93	Fehér Balázs Benő	-1
722	19	Kiss Andrea	0
723	32	Schlanger András	-1
724	74	Szilágyi Eta	0
725	73	Horváth Sándor	-1
726	68	Tiboldi Mária	0
727	86	Kállóy Molnár Péter	-1
728	30	Jakab Tamás	-1
729	91	Győry Franciska	0
730	16	Dévai Balázs Áron	-1
731	62	Kovács Lajos	-1
732	3	Földi László Ádám	-1
733	8	Borombovits Ágnes	0
734	69	Tímár (Gerber) Éva	0
735	8	Stefanovics Angéla	0
736	46	Gáti Oszkár	-1
737	38	Balogh Erika	0
738	14	Nyári Oszkár	-1
739	22	Kozák Ágnes	0
740	84	Fehér Tibor	-1
741	68	Fonyó István	-1
742	54	Szegvári Menyhért	-1
743	5	Tar Renáta	0
744	10	Kokics Péter	-1
745	87	Kovács Titusz	-1
746	30	Pásztor Edina	0
747	54	Marschek Gabriella	0
748	4	Cs. Tóth Simon Ferenc	-1
749	16	Schneider Zoltán	-1
750	72	Lőte Attila	-1
751	56	Várday Zoltán	-1
752	63	Huszti Péter	-1
753	80	Németh Gabriella	0
754	77	Váradi Hédi	0
755	26	Horváth Valéria	0
756	79	Gera Zoltán	-1
757	82	Árva János	-1
758	2	Marjai Virág	0
759	55	Kőszegi Péter	-1
760	23	Sajgál Erika	0
761	66	Házy Györgyi	0
762	82	Pálfalvi Éva	0
763	24	Korognai Károly	-1
764	89	Balázs Péter	-1
765	18	Szűcs Gábor	-1
766	6	Lajos András	-1
767	90	Harkányi János	-1
768	40	Matoricz József	-1
769	31	Pápai Erika	0
770	61	Esztergályos Cecília	0
771	57	Andai Kati	0
772	8	Zámbori Soma	-1
773	7	Czukor Balázs	-1
774	21	Tóth Ildikó	0
775	46	Bor Adrienne	0
776	64	Bősze György	-1
777	64	Győrffy László	-1
778	5	Réti Adrienn	0
779	38	Kárpáti Denise	0
780	75	Lente Ilona	0
781	60	Molnár Piroska	0
782	9	Csányi Sándor	-1
783	7	Járó Zsuzsa	0
784	1	Földeáki Nóra	0
785	77	Tarsoly Elemér	-1
786	86	Várnai Szilárd	-1
787	36	Hirling Judit	0
788	43	Szirtes Ági	0
789	42	Korcsmáros György	-1
790	58	Szűcs András	-1
791	55	Martin Márta	0
792	30	Varga Mária	0
793	63	Kovács István	-1
794	63	Iglódi István	-1
795	59	Jobba Gabriella	0
796	91	ifj. Kőmíves Sándor	-1
797	58	Tóth Titusz	-1
798	21	Moravek Krisztina	0
799	26	Galbenisz Tomasz	-1
800	60	Munk Magdolna	0
801	41	Gáspár Sándor	-1
802	22	ifj. Fillár István	-1
803	23	Hegyi Barbara	0
804	3	Orth Péter	-1
805	85	Ónodi Eszter	0
806	3	Erdélyi Tímea	0
807	80	Varga András	-1
808	70	Magda Gabriella	0
809	63	Ujréti László	-1
810	42	Dobos Katalin	0
811	56	Farkas Zsuzsa	0
812	92	Janka Barnabás	-1
813	87	Szatmári György	-1
814	37	Árdeleán László	-1
815	61	Szombathy Gyula	-1
816	65	Somhegyi György	-1
817	2	Tornyi Ildikó	0
818	20	Nagy Adrienne	0
819	94	Tóth Eszter	0
820	79	Lénárd Judit	0
821	71	Margitai Ági	0
822	67	Kiss Ferenc Nándor	-1
823	41	Jakab Csaba	-1
824	85	Nagy Viktor	-1
825	8	Sztankay Orsolya	0
826	48	Nagyidai István	-1
827	47	Polyák Margit	0
828	38	Borbély Sándor	-1
829	43	Zsolnay András	-1
830	72	Láng József	-1
831	51	Szerencsi Éva	0
832	55	Földessy Margit	0
833	83	Létai Klára	0
834	10	Turek Miklós	-1
835	61	Várhegyi Teréz	0
836	87	Varga Katalin	0
837	46	Kovács Erika	0
838	60	Kiss István	-1
839	34	Rónaszegi Judit	0
840	31	Szepessy Klára	0
841	79	Békés Itala	0
842	90	Csikos Sándor	-1
843	68	Szokolay Ottó	-1
845	7	Fenyő Iván	-1
846	20	Csányi János	-1
847	39	Benedek Gyula	-1
848	1	Krisztik Csaba	-1
849	48	Holl Zsuzsanna	0
850	24	Seress Zoltán	-1
851	37	Puskás Tamás	-1
852	5	Rusznák András	-1
853	75	Lombi Jenő	-1
854	47	Bánfalvy Ágnes	0
855	58	Papp János	-1
856	33	Fazekas Zsuzsa	0
857	75	Herczik Bertalan	-1
858	88	Csernák János	-1
859	27	R. Kárpáti Péter	-1
860	61	Janka Béla	-1
861	76	Marczi Erzsébet	0
862	5	Bata Éva	0
863	24	Jónás Judit	0
864	46	Besztercei Zsuzsa	0
865	29	Lengyel Ferenc	-1
866	75	Stozicky Vilma	0
867	75	Szabó Gyula	-1
868	86	Németh Zsuzsa	0
869	3	Szabó Emília	0
870	4	Polgár Péter	-1
871	7	Szandtner Anna	0
872	83	Gyulai (Gyurkovics) Mária	0
873	2	Kovács Krisztián	-1
874	30	Kőszegi Ákos	-1
875	57	Zala Márk	-1
876	52	Ivánka Csaba	-1
877	36	Pregitzer Fruzsina	0
878	88	Kuna Károly	-1
879	56	Mányai Zsuzsa	0
880	13	Fesztbaum Béla	-1
881	72	Téby Katalin	0
882	45	Gelecsényi Sára	0
883	23	Kárpáti Levente	-1
884	32	Dallos József	-1
885	18	Rudolf Teréz	0
886	70	Somogyi Miklós	-1
887	20	Bertalan Ágnes	0
888	81	Fodor Teréz	0
889	66	Gyöngyössy Katalin	0
890	44	Udvaros Dorottya	0
891	9	Hámori Gabriella	0
892	39	Lipcsei Tibor	-1
893	65	Gonda György	-1
894	3	Dankó István	-1
895	62	Ronyecz Mária	0
896	18	Kerekes Viktória	0
897	2	Telekes Péter	-1
898	74	Horváth Gyula	-1
899	45	Málnai Zsuzsa	0
